Onespread Twospread Channel Account
0	0	2.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	3.00	.00
0	0	3.00	.00
0	0	2.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	5.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	5.00	.00
3	0	5.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	4.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	3.00	.00
0	0	4.00	.00
0	0	2.00	.00
3	0	5.00	.00
3	0	5.00	1.00
0	0	2.00	.00
0	0	2.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	2.00	.00
24	0	5.00	1.00
24	0	5.00	1.00
24	0	5.00	1.00
24	0	5.00	1.00
3	0	5.00	.00
24	0	5.00	1.00
3	0	5.00	1.00
3	0	5.00	1.00
24	0	5.00	1.00
1	0	3.00	.00
24	0	5.00	1.00
24	0	5.00	1.00
24	0	5.00	1.00
0	0	4.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	4.00	.00
0	0	4.00	.00
24	0	5.00	1.00
0	0	3.00	.00
0	0	3.00	.00
0	0	4.00	.00
24	0	5.00	1.00
0	0	4.00	.00
1	0	2.00	.00
0	0	3.00	.00
0	0	4.00	.00
24	0	5.00	1.00
0	0	4.00	.00
0	0	4.00	.00
24	0	5.00	1.00
0	0	2.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	3.00	.00
1	0	3.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	2.00	.00
0	0	2.00	.00
0	0	2.00	.00
24	0	5.00	1.00
2	0	5.00	.00
2	0	5.00	1.00
0	0	2.00	.00
0	0	2.00	.00
1	0	3.00	.00
0	0	2.00	.00
0	0	5.00	.00
0	0	4.00	.00
0	0	4.00	.00
0	0	3.00	.00
0	0	2.00	.00
5	0	2.00	.00
0	0	4.00	.00
0	0	4.00	.00
5	0	3.00	1.00
0	0	2.00	.00
0	0	2.00	.00
0	0	2.00	.00
0	0	2.00	.00
0	0	4.00	.00
0	0	5.00	.00
0	0	2.00	.00
0	0	2.00	.00
